"COUNTY","CFIPS","YEAR","AGE","GENDER","Labor Force","Universe","Participation Rate",
"Adams County","1","2010","16 to 19","","9,115.33","23,387","38.98",
"Adams County","1","2010","20 to 24","","19,648.12","28,826","68.16",
"Adams County","1","2010","25 to 34","","64,180.51","70,016","91.67",
"Adams County","1","2010","35 to 44","","55,459","64,476","86.01",
"Adams County","1","2010","45 to 54","","49,350.92","58,246","84.73",
"Adams County","1","2010","55 to 64","","29,425.05","42,397","69.40",
"Adams County","1","2010","65 and over","","8,227.84","36,123.17","22.78",
"Adams County","1","2011","16 to 19","","9,151.01","24,171.34","37.86",
"Adams County","1","2011","20 to 24","","19,052.56","28,218.34","67.52",
"Adams County","1","2011","25 to 34","","64,138.99","70,184.2","91.39",
"Adams County","1","2011","35 to 44","","56,742.95","66,051.67","85.91",
"Adams County","1","2011","45 to 54","","49,881.61","58,824.8","84.80",
"Adams County","1","2011","55 to 64","","30,948.24","44,354.15","69.78",
"Adams County","1","2011","65 and over","","8,875.83","37,828.22","23.46",
"Adams County","1","2012","16 to 19","","9,080.73","24,714.2","36.74",
"Adams County","1","2012","20 to 24","","19,004.08","28,280.03","67.20",
"Adams County","1","2012","25 to 34","","64,053.93","70,174.25","91.28",
"Adams County","1","2012","35 to 44","","57,998.23","67,564.5","85.84",
"Adams County","1","2012","45 to 54","","50,158.07","59,217.53","84.70",
"Adams County","1","2012","55 to 64","","32,217.98","45,784.5","70.37",
"Adams County","1","2012","65 and over","","9,834.25","40,270.74","24.42",
"Adams County","1","2013","16 to 19","","8,982.03","25,083.89","35.81",
"Adams County","1","2013","20 to 24","","19,395.67","29,024.87","66.82",
"Adams County","1","2013","25 to 34","","63,356.34","69,540.86","91.11",
"Adams County","1","2013","35 to 44","","59,163.86","68,959.27","85.80",
"Adams County","1","2013","45 to 54","","50,549.55","59,754.06","84.60",
"Adams County","1","2013","55 to 64","","33,471.73","47,234.55","70.86",
"Adams County","1","2013","65 and over","","10,814.27","42,751.49","25.30",
"Adams County","1","2014","16 to 19","","8,977.48","25,736.32","34.88",
"Adams County","1","2014","20 to 24","","19,831.78","29,883.51","66.36",
"Adams County","1","2014","25 to 34","","62,498.7","68,770.4","90.88",
