"id","area_code","area_name","gender","age_group","population_year","laborforce","cni_pop_16pl"
1,0,"Colorado","Female","16 to 19",2010,57953.35,129664
2,0,"Colorado","Male","16 to 19",2010,65588.05,136483.67
3,0,"Colorado","Female","20 to 24",2010,119625.21,162890
4,0,"Colorado","Male","20 to 24",2010,137450.29,166345.07
5,0,"Colorado","Female","25 to 34",2010,284488.51,344459
6,0,"Colorado","Male","25 to 34",2010,337119.58,356052.74
7,0,"Colorado","Female","35 to 44",2010,266411.1,336796
8,0,"Colorado","Male","35 to 44",2010,330470.03,348315
9,0,"Colorado","Female","45 to 54",2010,295230.91,371783
10,0,"Colorado","Male","45 to 54",2010,338596.2,365881
11,0,"Colorado","Female","55 to 64",2010,199701.19,306999
12,0,"Colorado","Male","55 to 64",2010,225158.04,296920
13,0,"Colorado","Female","65 and over",2010,44675.1,297766.17
14,0,"Colorado","Male","65 and over",2010,59915.11,241706.29
15,0,"Colorado","Female","16 to 19",2011,58256.35,134323.41
16,0,"Colorado","Male","16 to 19",2011,66407.82,141829.86
17,0,"Colorado","Female","20 to 24",2011,115525.87,158994.23
18,0,"Colorado","Male","20 to 24",2011,133437.28,163052.98
19,0,"Colorado","Female","25 to 34",2011,289480.73,350914.62
20,0,"Colorado","Male","25 to 34",2011,341056.98,361787.57
21,0,"Colorado","Female","35 to 44",2011,266842.08,338296.84
22,0,"Colorado","Male","35 to 44",2011,332445.57,350436.17
23,0,"Colorado","Female","45 to 54",2011,293687.71,369376.37
24,0,"Colorado","Male","45 to 54",2011,336618.28,363711.03
25,0,"Colorado","Female","55 to 64",2011,209974.62,319515.68
26,0,"Colorado","Male","55 to 64",2011,234079.6,308127.49
27,0,"Colorado","Female","65 and over",2011,48154.49,309494.52
28,0,"Colorado","Male","65 and over",2011,64389,253712.15
29,0,"Colorado","Female","16 to 19",2012,57811.43,137778.81
30,0,"Colorado","Male","16 to 19",2012,65871.94,144522.17
31,0,"Colorado","Female","20 to 24",2012,114288.48,157825.21
32,0,"Colorado","Male","20 to 24",2012,133254.11,163501.85
33,0,"Colorado","Female","25 to 34",2012,293603.72,355995.26
34,0,"Colorado","Male","25 to 34",2012,344528.62,366313.77
35,0,"Colorado","Female","35 to 44",2012,269045.88,341562.48
36,0,"Colorado","Male","35 to 44",2012,335433.91,353621.59
37,0,"Colorado","Female","45 to 54",2012,290060.09,365313.05
38,0,"Colorado","Male","45 to 54",2012,332944.68,360149.35
39,0,"Colorado","Female","55 to 64",2012,217546.71,326666.21
40,0,"Colorado","Male","55 to 64",2012,239833.7,314244.43
41,0,"Colorado","Female","65 and over",2012,53229.68,325934.83
42,0,"Colorado","Male","65 and over",2012,70762.45,270162.56
43,0,"Colorado","Female","16 to 19",2013,56137.44,138152.31
44,0,"Colorado","Male","16 to 19",2013,64533.39,144664.96
45,0,"Colorado","Female","20 to 24",2013,116778.88,161945.06
46,0,"Colorado","Male","20 to 24",2013,137673.38,169570.69
47,0,"Colorado","Female","25 to 34",2013,296548.5,359713.54
48,0,"Colorado","Male","25 to 34",2013,345487.26,368584.55
