"CFIPS","YEAR","COUNTY","Total Population","Births","Deaths","Net Migration","Natural Increase","Census Building Permits","Group Quarters Population","Household Population","Households","Household Size","Total Housing Units","Vacancy Rate","Vacant Housing Units",
"1","1985","Adams County","268764","5210","1304","-807","3,906","2,741","2,256","266,508","94,949","2.81","104,376","9","9,427",
"1","1986","Adams County","268643","5101","1425","-3,797","3,676","2,926","2,254","266,389","95,759","2.78","108,677","11.9","12,918",
"1","1987","Adams County","269323","5058","1540","-2,838","3,518","943","2,261","267,062","96,564","2.77","111,852","13.7","15,288",
"1","1988","Adams County","269019","5024","1486","-3,842","3,538","432","2,187","266,832","97,064","2.75","112,933","14.1","15,869",
"1","1989","Adams County","266771","4777","1429","-5,596","3,348","397","2,249","264,522","96,879","2.73","113,086","14.3","16,207",
"1","1990","Adams County","265708","4807","1561","-4,309","3,246","335","2,727","262,981","96,353","2.73","106,947","9.9","10,594",
"1","1991","Adams County","273624","4940","1639","4,615","3,301","658","2,776","270,848","98,326","2.75","107,282","8.3","8,956",
"1","1992","Adams County","281385","5005","1619","4,375","3,386","1,385","2,844","278,541","101,116","2.75","108,074","6.4","6,958",
"1","1993","Adams County","290777","5034","1693","6,051","3,341","2,439","2,880","287,897","102,836","2.8","109,367","6","6,531",
"1","1994","Adams County","300794","4906","1800","6,911","3,106","2,906","2,963","297,831","105,211","2.83","111,800","5.9","6,589",
"1","1995","Adams County","312593","5063","1781","8,517","3,282","2,944","2,979","309,614","108,485","2.85","114,742","5.5","6,257",
"1","1996","Adams County","323042","5251","1844","7,042","3,407","2,764","3,774","319,268","111,208","2.87","117,691","5.5","6,483",
"1","1997","Adams County","332744","5480","1872","6,094","3,608","4,155","3,798","328,946","114,514","2.87","120,682","5.1","6,168",
"1","1998","Adams County","344024","5846","2053","7,487","3,793","4,478","3,795","340,229","117,449","2.9","124,925","6","7,476",
"1","1999","Adams County","355308","6155","2081","7,210","4,074","4,146","3,792","351,516","120,316","2.92","129,403","7","9,087",
"1","2000","Adams County","351735","6869","2115","-8,328","4,754","1,455","3,414","348,321","124,088","2.81","128,717","3.596","4,629",
"1","2001","Adams County","359437","7132","2223","2,793","4,909","5,819","3,396","356,041","126,724","2.81","133,917","5.371","7,193",
"1","2002","Adams County","371181","7271","2213","6,686","5,058","6,158","3,625","367,556","130,680","2.81","139,734","6.479","9,054",
"1","2003","Adams County","377665","7393","2283","1,374","5,110","5,981","3,649","374,016","132,793","2.82","144,635","8.188","11,842",
"1","2004","Adams County","385945","7429","2216","3,067","5,213","4,811","3,643","382,302","135,443","2.82","149,648","9.492","14,205",
"1","2005","Adams County","395384","7560","2357","4,236","5,203","5,313","3,626","391,758","138,478","2.83","154,113","10.145","15,635",
"1","2006","Adams County","407587","7733","2241","6,711","5,492","4,928","3,657","403,930","142,496","2.83","157,948","9.783","15,452",
"1","2007","Adams County","415915","7841","2279","2,766","5,562","3,252","3,671","412,244","145,208","2.84","160,651","9.613","15,443",
"1","2008","Adams County","425138","7925","2448","3,746","5,477","2,288","3,683","421,455","148,306","2.84","162,115","8.518","13,809",
"1","2009","Adams County","436323","7699","2359","5,845","5,340","957","3,873","432,450","152,045","2.84","162,794","6.603","10,749",
"3","1985","Alamosa County","13011","258","79","-85","179","10","884","12,127","4,277","2.84","5,113","16.4","836",
"3","1986","Alamosa County","13336","246","84","163","162","16","897","12,439","4,388","2.83","5,117","14.2","729",
"3","1987","Alamosa County","13427","273","90","-92","183","11","900","12,527","4,412","2.84","5,126","13.9","714",
"3","1988","Alamosa County","13715","264","99","123","165","60","1,168","12,547","4,394","2.86","5,147","14.6","753",
"3","1989","Alamosa County","13660","234","103","-186","131","28","1,153","12,507","4,375","2.86","5,293","17.3","918",
"3","1990","Alamosa County","13630","265","91","-204","174","29","998","12,632","4,721","2.68","5,254","10.1","533",
"3","1991","Alamosa County","13639","273","95","-169","178","20","967","12,672","4,860","2.61","5,283","8","423",
"3","1992","Alamosa County","13572","273","84","-256","189","33","1,063","12,509","4,931","2.54","5,303","7","372",
"3","1993","Alamosa County","13657","228","98","-45","130","73","817","12,840","4,983","2.58","5,357","7","374",
"3","1994","Alamosa County","13823","218","98","46","120","45","550","13,273","5,147","2.58","5,430","5.2","283",
"3","1995","Alamosa County","14097","230","126","170","104","9","929","13,168","5,200","2.53","5,475","5","275",
"3","1996","Alamosa County","14322","236","119","108","117","68","795","13,527","5,391","2.51","5,651","4.6","260",
"3","1997","Alamosa County","14478","235","124","45","111","89","876","13,602","5,500","2.47","5,719","3.8","219",
"3","1998","Alamosa County","14623","242","100","3","142","100","916","13,707","5,603","2.45","5,808","3.5","205",
"3","1999","Alamosa County","14822","203","114","110","89","78","956","13,866","5,700","2.43","6,019","5.3","319",
"3","2000","Alamosa County","15099","231","106","149","125","13","995","14,104","5,523","2.55","6,146","10.137","623",
"3","2001","Alamosa County","15231","249","113","-4","136","52","995","14,236","5,598","2.54","6,200","9.71","602",
"3","2002","Alamosa County","15266","227","116","-76","111","92","995","14,271","5,636","2.53","6,246","9.766","610",
"3","2003","Alamosa County","15360","220","131","5","89","48","995","14,365","5,697","2.52","6,299","9.557","602",
"3","2004","Alamosa County","15406","271","101","-124","170","35","995","14,411","5,741","2.51","6,350","9.591","609",
"3","2005","Alamosa County","15395","260","115","-156","145","53","995","14,400","5,757","2.5","6,392","9.934","635",
"3","2006","Alamosa County","15350","227","93","-179","134","64","995","14,355","5,761","2.49","6,417","10.223","656",
"3","2007","Alamosa County","15293","263","114","-206","149","48","995","14,298","5,763","2.48","6,462","10.817","699",
"3","2008","Alamosa County","15346","258","109","-96","149","54","995","14,351","5,808","2.47","6,510","10.783","702",
"3","2009","Alamosa County","15301","272","89","-228","183","56","995","14,306","5,814","2.46","6,536","11.047","722",
"5","1985","Arapahoe County","381244","6458","1602","9,246","4,856","5,069","3,536","377,708","140,787","2.68","153,726","8.4","12,939",
"5","1986","Arapahoe County","387244","6414","1693","1,279","4,721","4,020","3,586","383,658","144,013","2.66","159,313","9.6","15,300",
"5","1987","Arapahoe County","388687","6269","1665","-3,161","4,604","2,060","3,604","385,083","145,014","2.66","163,322","11.2","18,308",
"5","1988","Arapahoe County","386723","6269","1723","-6,510","4,546","1,804","3,787","382,936","144,805","2.64","165,411","12.5","20,606",
"5","1989","Arapahoe County","389502","6200","1712","-1,709","4,488","558","3,666","385,836","146,698","2.63","166,846","12.1","20,148",
"5","1990","Arapahoe County","393284","6163","1829","-552","4,334","637","3,112","390,172","154,710","2.52","168,665","8.3","13,955",
"5","1991","Arapahoe County","403202","6404","1909","5,423","4,495","1,027","3,207","399,995","159,542","2.51","169,302","5.8","9,760",
"5","1992","Arapahoe County","417681","6551","1970","9,898","4,581","2,277","3,311","414,370","165,029","2.51","170,329","3.1","5,300",
"5","1993","Arapahoe County","427470","6407","2036","5,418","4,371","2,905","3,383","424,087","168,215","2.52","172,532","2.5","4,317",
