"CFIPS","YEAR","COUNTY","Total Population","Births","Deaths","Net Migration","Natural Increase","Census Building Permits","Group Quarters Population","Household Population","Households","Household Size","Total Housing Units","Vacancy Rate","Vacant Housing Units",
"1","2008","Adams County","425138","7925","2448","3,746","5,477","2,288","3,683","421,455","148,306","2.84","162,115","8.518","13,809",
"1","2009","Adams County","436323","7699","2359","5,845","5,340","957","3,873","432,450","152,045","2.84","162,794","6.603","10,749",
"3","2008","Alamosa County","15346","258","109","-96","149","54","995","14,351","5,808","2.47","6,510","10.783","702",
"3","2009","Alamosa County","15301","272","89","-228","183","56","995","14,306","5,814","2.46","6,536","11.047","722",
"5","2008","Arapahoe County","556246","8292","3207","5,279","5,085","3,023","5,773","550,473","217,507","2.53","233,100","6.689","15,593",
"5","2009","Arapahoe County","566480","8124","3182","5,292","4,942","1,445","5,605","560,875","220,854","2.54","236,200","6.497","15,346",
"7","2008","Archuleta County","12074","130","76","-88","54","202","84","11,990","5,204","2.3","8,652","39.852","3,448",
"7","2009","Archuleta County","11899","111","94","-192","17","147","84","11,815","5,171","2.28","8,714","40.659","3,543",
"9","2008","Baca County","3906","45","62","-70","-17","1","85","3,821","1,721","2.22","2,273","24.285","552",
"9","2009","Baca County","3814","38","69","-61","-31","0","85","3,729","1,689","2.21","2,257","25.166","568",
"11","2008","Bent County","6008","64","73","244","-9","7","1,760","4,248","1,789","2.37","2,271","21.224","482",
"11","2009","Bent County","6481","63","69","479","-6","5","2,216","4,265","1,810","2.36","2,255","19.734","445",
"13","2008","Boulder County","291827","3353","1524","1,241","1,829","701","9,935","281,892","116,788","2.41","125,999","7.31","9,211",
"13","2009","Boulder County","293641","3187","1512","139","1,675","1,044","9,879","283,762","117,841","2.41","126,756","7.033","8,915",
"14","2008","Broomfield County","54400","723","230","579","493","1,006","7","54,393","20,709","2.63","21,472","3.553","763",
"14","2009","Broomfield County","55378","693","244","529","449","794","7","55,371","21,219","2.61","22,327","4.963","1,108",
"15","2008","Chaffee County","17403","130","169","204","-39","209","1,337","16,066","7,391","2.17","9,943","25.666","2,552",
"15","2009","Chaffee County","17604","156","143","188","13","130","1,366","16,238","7,507","2.16","9,988","24.84","2,481",
"17","2008","Cheyenne County","1898","24","19","-17","5","0","30","1,868","804","2.32","999","19.52","195",
"17","2009","Cheyenne County","1833","22","34","-53","-12","0","30","1,803","785","2.3","985","20.305","200",
"19","2008","Clear Creek County","9294","99","43","-95","56","22","42","9,252","4,243","2.18","5,638","24.743","1,395",
"19","2009","Clear Creek County","9060","76","43","-267","33","15","42","9,018","4,165","2.17","5,664","26.465","1,499",
"21","2008","Conejos County","8384","123","77","-95","46","28","53","8,331","3,123","2.67","4,257","26.638","1,134",
"21","2009","Conejos County","8210","113","79","-208","34","14","53","8,157","3,079","2.65","4,274","27.96","1,195",
"23","2008","Costilla County","3611","31","38","-58","-7","17","0","3,611","1,569","2.3","2,523","37.812","954",
"23","2009","Costilla County","3505","33","29","-110","4","12","0","3,505","1,533","2.29","2,584","40.673","1,051",
"25","2008","Crowley County","5893","31","40","-5","-9","8","2,925","2,968","1,217","2.44","1,562","22.087","345",
"25","2009","Crowley County","5803","44","47","-87","-3","0","2,938","2,865","1,184","2.42","1,561","24.151","377",
"27","2008","Custer County","4119","26","26","-11","0","69","16","4,103","1,888","2.17","3,797","50.277","1,909",
"27","2009","Custer County","4166","24","39","62","-15","51","16","4,150","1,931","2.15","3,888","50.334","1,957",
"29","2008","Delta County","30342","369","351","447","18","110","914","29,428","12,310","2.39","14,439","14.745","2,129",
"29","2009","Delta County","30625","329","358","312","-29","91","935","29,690","12,451","2.38","14,516","14.226","2,065",
"31","2008","Denver County","581903","10169","4183","5,480","5,986","3,494","13,223","568,680","255,239","2.23","281,076","9.192","25,837",
"31","2009","Denver County","595573","10184","4134","7,620","6,050","3,053","13,308","582,265","261,855","2.22","283,636","7.679","21,781",
"33","2008","Dolores County","2074","30","19","62","11","3","0","2,074","900","2.3","1,422","36.709","522",
"33","2009","Dolores County","2052","28","16","-34","12","1","0","2,052","892","2.3","1,448","38.398","556",
"35","2008","Douglas County","276740","3938","784","4,987","3,154","2,168","967","275,773","98,378","2.8","104,350","5.723","5,972",
"35","2009","Douglas County","282163","3773","779","2,429","2,994","1,344","1,042","281,121","100,581","2.79","106,155","5.251","5,574",
"37","2008","Eagle County","50301","858","104","263","754","520","353","49,948","18,181","2.75","30,917","41.194","12,736",
"37","2009","Eagle County","51520","871","93","441","778","164","366","51,154","18,612","2.75","31,165","40.279","12,553",
"39","2008","Elbert County","22663","164","124","145","40","142","53","22,610","8,135","2.78","8,887","8.462","752",
"39","2009","Elbert County","22890","185","117","159","68","55","53","22,837","8,273","2.76","8,916","7.212","643",
"41","2008","El Paso County","599060","9043","3464","4,709","5,579","2,926","16,080","582,980","227,125","2.57","250,335","9.272","23,210",
"41","2009","El Paso County","608518","8587","3513","4,384","5,074","1,905","16,255","592,263","231,329","2.56","251,891","8.163","20,562",
"43","2008","Fremont County","46774","425","458","153","-33","154","9,347","37,427","16,124","2.32","18,925","14.801","2,801",
"43","2009","Fremont County","46635","413","491","-61","-78","91","9,305","37,330","16,169","2.31","19,104","15.363","2,935",
"45","2008","Garfield County","54226","975","286","861","689","574","830","53,396","19,680","2.71","22,805","13.703","3,125",
"45","2009","Garfield County","55400","997","268","445","729","385","851","54,549","20,048","2.72","23,145","13.381","3,097",
"47","2008","Gilpin County","5084","49","30","101","19","39","37","5,047","2,279","2.21","3,524","35.329","1,245",
"47","2009","Gilpin County","5396","52","26","286","26","44","37","5,359","2,435","2.2","3,545","31.312","1,110",
"49","2008","Grand County","14535","156","57","97","99","574","393","14,142","6,163","2.29","15,786","60.959","9,623",
"49","2009","Grand County","14664","145","54","38","91","313","393","14,271","6,248","2.28","15,980","60.901","9,732",
"51","2008","Gunnison County","15137","168","66","78","102","173","808","14,329","6,412","2.23","11,214","42.821","4,802",
"51","2009","Gunnison County","15266","182","59","6","123","87","808","14,458","6,493","2.23","11,338","42.741","4,846",
"53","2008","Hinsdale County","824","8","2","-27","6","27","0","824","378","2.18","1,383","72.668","1,005",
"53","2009","Hinsdale County","827","10","2","-5","8","17","0","827","380","2.18","1,386","72.583","1,006",
"55","2008","Huerfano County","7680","59","119","82","-60","62","1,183","6,497","3,071","2.12","5,035","39.007","1,964",
"55","2009","Huerfano County","6710","56","108","-918","-52","32","418","6,292","2,998","2.1","5,056","40.704","2,058",
"57","2008","Jackson County","1381","11","13","-39","-2","8","10","1,371","627","2.19","1,270","50.63","643",
"57","2009","Jackson County","1386","8","14","11","-6","12","10","1,376","636","2.16","1,280","50.313","644",
"59","2008","Jefferson County","530565","6167","3736","1,014","2,431","1,073","7,796","522,769","214,695","2.43","229,029","6.259","14,334",
"59","2009","Jefferson County","532606","5934","3678","-215","2,256","602","7,795","524,811","216,523","2.42","229,781","5.77","13,258",
"61","2008","Kiowa County","1432","15","22","-32","-7","1","18","1,414","626","2.26","801","21.848","175",
"61","2009","Kiowa County","1392","17","19","-38","-2","3","18","1,374","611","2.25","803","23.91","192",
"63","2008","Kit Carson County","8042","101","67","173","34","6","1,334","6,708","2,807","2.39","3,525","20.369","718",
"63","2009","Kit Carson County","8269","102","76","201","26","1","1,508","6,761","2,846","2.38","3,526","19.285","680",
"65","2008","Lake County","7269","128","45","-85","83","52","99","7,170","2,806","2.56","4,304","34.805","1,498",
"65","2009","Lake County","7174","120","37","-178","83","25","99","7,075","2,775","2.55","4,285","35.239","1,510",
"67","2008","La Plata County","50073","606","277","598","329","692","1,928","48,145","20,154","2.39","25,719","21.638","5,565",
"67","2009","La Plata County","50759","593","275","368","318","336","1,910","48,849","20,488","2.38","25,813","20.629","5,325",
"69","2008","Larimer County","292394","3425","1687","3,902","1,738","1,331","7,812","284,582","116,799","2.44","130,534","10.522","13,735",
"69","2009","Larimer County","297502","3566","1664","3,206","1,902","1,254","7,812","289,690","119,363","2.43","132,197","9.708","12,834",
"71","2008","Las Animas County","15486","190","176","-53","14","60","866","14,620","6,321","2.31","8,161","22.546","1,840",
"71","2009","Las Animas County","15477","193","165","-37","28","32","862","14,615","6,348","2.3","8,204","22.623","1,856",
"73","2008","Lincoln County","5522","51","55","-45","-4","2","1,075","4,447","1,888","2.36","2,417","21.887","529",
