"id","countyfips","year","births","censusbuildingpermits","deaths","groupquarterspopulation","householdpopulation","households","householdsize","naturalincrease","netmigration","totalhousingunits","vacancyrate","vacanthousingunits","totalpopulation"
1,0,1985,55115,30898,20234,81139,3133309,1221557,2.565012,34881,5317,1402558,12.90506,181001,3214448
2,0,1986,55142,30280,20768,82109,3161694,1243453,2.542673,34374,-5731,1436610,13.44533,193157,3243803
3,0,1987,53803,17449,21089,83419,3179935,1258199,2.52737,32714,-14299,1467981,14.29051,209782,3263354
4,0,1988,53346,12371,21312,86810,3184638,1267288,2.512955,32034,-24046,1486346,14.73802,219058,3271448
5,0,1989,52697,10740,21056,87671,3196866,1282386,2.492905,31641,-18698,1497046,14.3389,214660,3284537
6,0,1990,53491,11388,21514,79551,3224491,1282488,2.514246,31977,-12584,1477349,13.18991,194861,3304042
7,0,1991,53530,13450,22096,81719,3299232,1313504,2.511779,31434,45475,1488886,11.77941,175382,3380951
8,0,1992,54545,23057,22426,84669,3405163,1354139,2.514633,32119,76762,1503198,9.916125,149059,3489832
9,0,1993,54100,29791,23171,89323,3515715,1386998,2.534766,30929,84277,1527392,9.191747,140394,3605038
10,0,1994,53788,36748,23828,90658,3621404,1418294,2.553352,29960,77064,1557549,8.94065,139255,3712062
11,0,1995,53869,38618,24724,93604,3717470,1451449,2.561213,29145,69867,1594454,8.968901,143005,3811074
12,0,1996,54974,41135,25083,99958,3802490,1483877,2.562537,29891,61483,1634373,9.208179,150496,3902448
13,0,1997,56305,43052,25885,96858,3899065,1527884,2.551938,30420,63055,1675928,8.833553,148044,3995923
14,0,1998,57738,51156,26297,99083,4003408,1560722,2.5651,31441,75127,1719248,9.220659,158526,4102491
15,0,1999,60718,49313,26532,106333,4109651,1607300,2.556866,34186,79307,1779663,9.685148,172363,4215984
16,0,2000,63917,54596,26997,102749,4236052,1674523,2.529706669,36920,85875,1835015,8.746086544,160492,4338801
17,0,2001,66525,52872,27934,104464,4340049,1717669,2.52670858,38591,67121,1888179,9.030393834,170510,4444513
18,0,2002,67778,53348,28833,105962,4398747,1743164,2.523429836,38945,21251,1940772,10.18203066,197610,4504709
19,0,2003,69012,46521,28950,106969,4448115,1764982,2.520201316,40062,10313,1991916,11.39264909,226932,4555084
20,0,2004,68452,38609,29025,108262,4500549,1788148,2.516877238,39427,14300,2034030,12.08841561,245882,4608811
21,0,2005,69031,45307,29087,108525,4554009,1811477,2.513975612,39944,13779,2080634,12.9362973,269157,4662534
22,0,2006,69538,44188,29308,111028,4634632,1845956,2.510694729,40230,42896,2122727,13.0384642,276771,4745660
23,0,2007,70777,36353,29653,111911,4709873,1879158,2.506375465,41124,35000,2159545,12.98366091,280388,4821784
24,0,2008,70733,27917,31048,112860,4789078,1914596,2.501351721,39685,40469,2184314,12.34794997,269718,4901938
25,0,2009,69135,18191,30487,113459,4863394,1947695,2.497001069,38648,36267,2203007,11.5892959,255313,4976853
26,1,1985,5210,2741,1304,2256,266508,94949,2.806854,3906,-807,104376,9,9427,268764
27,1,1986,5101,2926,1425,2254,266389,95759,2.781869,3676,-3797,108677,11.9,12918,268643
28,1,1987,5058,943,1540,2261,267062,96564,2.765648,3518,-2838,111852,13.7,15288,269323
29,1,1988,5024,432,1486,2187,266832,97064,2.749032,3538,-3842,112933,14.1,15869,269019
30,1,1989,4777,397,1429,2249,264522,96879,2.730437,3348,-5596,113086,14.3,16207,266771
31,1,1990,4807,335,1561,2727,262981,96353,2.729349,3246,-4309,106947,9.9,10594,265708
32,1,1991,4940,658,1639,2776,270848,98326,2.754592,3301,4615,107282,8.3,8956,273624
33,1,1992,5005,1385,1619,2844,278541,101116,2.754668,3386,4375,108074,6.4,6958,281385
34,1,1993,5034,2439,1693,2880,287897,102836,2.799574,3341,6051,109367,6,6531,290777
35,1,1994,4906,2906,1800,2963,297831,105211,2.830797,3106,6911,111800,5.9,6589,300794
36,1,1995,5063,2944,1781,2979,309614,108485,2.85398,3282,8517,114742,5.5,6257,312593
37,1,1996,5251,2764,1844,3774,319268,111208,2.870908,3407,7042,117691,5.5,6483,323042
38,1,1997,5480,4155,1872,3798,328946,114514,2.87254,3608,6094,120682,5.1,6168,332744
39,1,1998,5846,4478,2053,3795,340229,117449,2.896823,3793,7487,124925,6,7476,344024
40,1,1999,6155,4146,2081,3792,351516,120316,2.921607,4074,7210,129403,7,9087,355308
41,1,2000,6869,1455,2115,3414,348321,124088,2.807048224,4754,-8328,128717,3.596261566,4629,351735
42,1,2001,7132,5819,2223,3396,356041,126724,2.809578296,4909,2793,133917,5.371237408,7193,359437
43,1,2002,7271,6158,2213,3625,367556,130680,2.812641567,5058,6686,139734,6.479453819,9054,371181
44,1,2003,7393,5981,2283,3649,374016,132793,2.816534004,5110,1374,144635,8.187506482,11842,377665
45,1,2004,7429,4811,2216,3643,382302,135443,2.822604343,5213,3067,149648,9.492275206,14205,385945
46,1,2005,7560,5313,2357,3626,391758,138478,2.829026993,5203,4236,154113,10.14515323,15635,395384
47,1,2006,7733,4928,2241,3657,403930,142496,2.834676061,5492,6711,157948,9.782966546,15452,407587
48,1,2007,7841,3252,2279,3671,412244,145208,2.838989587,5562,2766,160651,9.61276307,15443,415915
49,1,2008,7925,2288,2448,3683,421455,148306,2.841793319,5477,3746,162115,8.518027326,13809,425138
50,1,2009,7699,957,2359,3873,432450,152045,2.84422375,5340,5845,162794,6.6028232,10749,436323
51,3,1985,258,10,79,884,12127,4277,2.835399,179,-85,5113,16.4,836,13011
52,3,1986,246,16,84,897,12439,4388,2.834777,162,163,5117,14.2,729,13336
53,3,1987,273,11,90,900,12527,4412,2.839302,183,-92,5126,13.9,714,13427
54,3,1988,264,60,99,1168,12547,4394,2.855485,165,123,5147,14.6,753,13715
55,3,1989,234,28,103,1153,12507,4375,2.858743,131,-186,5293,17.3,918,13660
56,3,1990,265,29,91,998,12632,4721,2.675704,174,-204,5254,10.1,533,13630
57,3,1991,273,20,95,967,12672,4860,2.607407,178,-169,5283,8,423,13639
58,3,1992,273,33,84,1063,12509,4931,2.536808,189,-256,5303,7,372,13572
59,3,1993,228,73,98,817,12840,4983,2.576761,130,-45,5357,7,374,13657
60,3,1994,218,45,98,550,13273,5147,2.578784,120,46,5430,5.2,283,13823
61,3,1995,230,9,126,929,13168,5200,2.532308,104,170,5475,5,275,14097
62,3,1996,236,68,119,795,13527,5391,2.509182,117,108,5651,4.6,260,14322
63,3,1997,235,89,124,876,13602,5500,2.473091,111,45,5719,3.8,219,14478
64,3,1998,242,100,100,916,13707,5603,2.446368,142,3,5808,3.5,205,14623
65,3,1999,203,78,114,956,13866,5700,2.432631,89,110,6019,5.3,319,14822
66,3,2000,231,13,106,995,14104,5523,2.553684592,125,149,6146,10.13667426,623,15099
67,3,2001,249,52,113,995,14236,5598,2.54305109,136,-4,6200,9.709677419,602,15231
68,3,2002,227,92,116,995,14271,5636,2.532114975,111,-76,6246,9.7662504,610,15266
69,3,2003,220,48,131,995,14365,5697,2.521502545,89,5,6299,9.557072551,602,15360
70,3,2004,271,35,101,995,14411,5741,2.510189862,170,-124,6350,9.590551181,609,15406
71,3,2005,260,53,115,995,14400,5757,2.501302762,145,-156,6392,9.934292866,635,15395
72,3,2006,227,64,93,995,14355,5761,2.491754904,134,-179,6417,10.22284557,656,15350
73,3,2007,263,48,114,995,14298,5763,2.480999479,149,-206,6462,10.81708449,699,15293
74,3,2008,258,54,109,995,14351,5808,2.470902204,149,-96,6510,10.78341014,702,15346
75,3,2009,272,56,89,995,14306,5814,2.460612315,183,-228,6536,11.04651163,722,15301
76,5,1985,6458,5069,1602,3536,377708,140787,2.682833,4856,9246,153726,8.4,12939,381244
77,5,1986,6414,4020,1693,3586,383658,144013,2.664051,4721,1279,159313,9.6,15300,387244
78,5,1987,6269,2060,1665,3604,385083,145014,2.655488,4604,-3161,163322,11.2,18308,388687
79,5,1988,6269,1804,1723,3787,382936,144805,2.644494,4546,-6510,165411,12.5,20606,386723
80,5,1989,6200,558,1712,3666,385836,146698,2.630138,4488,-1709,166846,12.1,20148,389502
81,5,1990,6163,637,1829,3112,390172,154710,2.521957,4334,-552,168665,8.3,13955,393284
82,5,1991,6404,1027,1909,3207,399995,159542,2.507145,4495,5423,169302,5.8,9760,403202
83,5,1992,6551,2277,1970,3311,414370,165029,2.510892,4581,9898,170329,3.1,5300,417681
84,5,1993,6407,2905,2036,3383,424087,168215,2.521101,4371,5418,172532,2.5,4317,427470
85,5,1994,6250,4198,2223,3196,433209,171232,2.529953,4027,4908,175437,2.4,4205,436405
86,5,1995,6231,3408,2289,3211,439328,173806,2.527692,3942,2192,179635,3.2,5829,442539
87,5,1996,6343,3585,2281,3190,447875,177697,2.520442,4062,4464,183260,3,5563,451065
88,5,1997,6166,3932,2475,2265,456793,182703,2.500194,3691,4302,186853,2.2,4150,459058
