"COUNTY","CFIPS","YEAR","AGE","RACE","COUNT",
"Adams","1","2010","Age 0-17","Asian non Hispanic","5,003.66",
"Adams","1","2010","Age 0-17","White non Hispanic","52,644.06",
"Adams","1","2010","Age 0-17","Hispanic","63,659.05",
"Adams","1","2010","Age 0-17","American Indian non Hispanic","1,029.29",
"Adams","1","2010","Age 0-17","Black non Hispanic","4,227.92",
"Adams","1","2011","Age 0-17","Hispanic","64,973.34",
"Adams","1","2011","Age 0-17","White non Hispanic","52,951.31",
"Adams","1","2011","Age 0-17","American Indian non Hispanic","1,025.78",
"Adams","1","2011","Age 0-17","Black non Hispanic","4,263.64",
"Adams","1","2011","Age 0-17","Asian non Hispanic","5,201.59",
"Adams","1","2012","Age 0-17","American Indian non Hispanic","1,021.41",
"Adams","1","2012","Age 0-17","Black non Hispanic","4,307.21",
"Adams","1","2012","Age 0-17","Hispanic","66,273.52",
"Adams","1","2012","Age 0-17","Asian non Hispanic","5,397.04",
"Adams","1","2012","Age 0-17","White non Hispanic","53,100.09",
"Adams","1","2013","Age 0-17","Asian non Hispanic","5,606.67",
"Adams","1","2013","Age 0-17","White non Hispanic","53,324.93",
"Adams","1","2013","Age 0-17","Black non Hispanic","4,375.57",
"Adams","1","2013","Age 0-17","American Indian non Hispanic","1,023.09",
"Adams","1","2013","Age 0-17","Hispanic","67,871.62",
"Adams","1","2014","Age 0-17","White non Hispanic","53,504.95",
"Adams","1","2014","Age 0-17","Hispanic","69,456.18",
"Adams","1","2014","Age 0-17","Black non Hispanic","4,439.57",
"Adams","1","2014","Age 0-17","Asian non Hispanic","5,805.44",
"Adams","1","2014","Age 0-17","American Indian non Hispanic","1,029.48",
"Adams","1","2015","Age 0-17","Asian non Hispanic","6,021.81",
"Adams","1","2015","Age 0-17","White non Hispanic","53,553.82",
"Adams","1","2015","Age 0-17","American Indian non Hispanic","1,038.35",
"Adams","1","2015","Age 0-17","Black non Hispanic","4,510.96",
"Adams","1","2015","Age 0-17","Hispanic","71,033.74",
"Adams","1","2016","Age 0-17","American Indian non Hispanic","1,048.79",
"Adams","1","2016","Age 0-17","Asian non Hispanic","6,240.29",
"Adams","1","2016","Age 0-17","Hispanic","72,690.48",
"Adams","1","2016","Age 0-17","White non Hispanic","53,662.6",
"Adams","1","2016","Age 0-17","Black non Hispanic","4,578.36",
"Adams","1","2010","Age 18-64","Asian non Hispanic","11,113.78",
"Adams","1","2010","Age 18-64","Black non Hispanic","8,465.11",
"Adams","1","2010","Age 18-64","White non Hispanic","160,237.78",
"Adams","1","2010","Age 18-64","American Indian non Hispanic","2,550.55",
"Adams","1","2010","Age 18-64","Hispanic","97,576.76",
"Adams","1","2011","Age 18-64","Asian non Hispanic","11,445.97",
"Adams","1","2011","Age 18-64","Hispanic","100,792.1",
"Adams","1","2011","Age 18-64","White non Hispanic","161,060.03",
"Adams","1","2011","Age 18-64","Black non Hispanic","8,648.3",
"Adams","1","2011","Age 18-64","American Indian non Hispanic","2,596.46",
"Adams","1","2012","Age 18-64","Asian non Hispanic","11,800.3",
"Adams","1","2012","Age 18-64","Hispanic","104,081.95",
"Adams","1","2012","Age 18-64","White non Hispanic","161,375.59",
"Adams","1","2012","Age 18-64","Black non Hispanic","8,817.57",
"Adams","1","2012","Age 18-64","American Indian non Hispanic","2,639.58",
"Adams","1","2013","Age 18-64","Asian non Hispanic","12,228.73",
"Adams","1","2013","Age 18-64","White non Hispanic","162,013.37",
"Adams","1","2013","Age 18-64","Black non Hispanic","8,995.65",
"Adams","1","2013","Age 18-64","Hispanic","107,783.34",
"Adams","1","2013","Age 18-64","American Indian non Hispanic","2,687.73",
"Adams","1","2014","Age 18-64","American Indian non Hispanic","2,737.65",
"Adams","1","2014","Age 18-64","Asian non Hispanic","12,714.47",
"Adams","1","2014","Age 18-64","Black non Hispanic","9,189.24",
"Adams","1","2014","Age 18-64","White non Hispanic","163,044.56",
"Adams","1","2014","Age 18-64","Hispanic","111,881.16",
"Adams","1","2015","Age 18-64","White non Hispanic","163,620.51",
"Adams","1","2015","Age 18-64","Asian non Hispanic","13,194.98",
"Adams","1","2015","Age 18-64","Black non Hispanic","9,351.88",
"Adams","1","2015","Age 18-64","American Indian non Hispanic","2,777.83",
"Adams","1","2015","Age 18-64","Hispanic","115,933.45",
"Adams","1","2016","Age 18-64","Asian non Hispanic","13,747.11",
"Adams","1","2016","Age 18-64","White non Hispanic","164,494.8",
"Adams","1","2016","Age 18-64","Hispanic","120,464.31",
"Adams","1","2016","Age 18-64","Black non Hispanic","9,543.88",
"Adams","1","2016","Age 18-64","American Indian non Hispanic","2,824.21",
"Adams","1","2010","Age 65+","Hispanic","7,265.87",
"Adams","1","2010","Age 65+","White non Hispanic","27,646.5",
"Adams","1","2010","Age 65+","Black non Hispanic","742.77",
"Adams","1","2010","Age 65+","Asian non Hispanic","1,329.5",
"Adams","1","2010","Age 65+","American Indian non Hispanic","216.34",
